,age,Pupil,VA,FixLoss_times,Ca_trial,FixLose_pcnt,FN,FP,MD10_2,fovea,RGC_HFA,RGC_HFA9,RGC_OCT,wRGC,wRGC9,cpRNFL,Area OD,expectedRGCnumber,within_D,AVERAGETHICKNESS,SYMMETRY,QUADRANT_T,QUADRANT_S,QUADRANT_N,QUADRANT_I,CLOCKHOUR_1,CLOCKHOUR_2,CLOCKHOUR_3,CLOCKHOUR_4,CLOCKHOUR_5,CLOCKHOUR_6,CLOCKHOUR_7,CLOCKHOUR_8,CLOCKHOUR_9,CLOCKHOUR_10,CLOCKHOUR_11,CLOCKHOUR_12,GC_AVERAGE,GC_MINIMUM,GC_TEMPSUP,GC_SUP,GC_NASSUP,GC_NASINF,GC_INF,GC_TEMPINF,RNFL_AVERAGE,RNFL_MINIMUM,RNFL_TEMPSUP,RNFL_SUP,RNFL_NASSUP,RNFL_NASINF,RNFL_INF,RNFL_TEMPINF,Idcheck,RGC_QUADRANT_I,RGC_QUADRANT_N,RGC_QUADRANT_S,RGC_QUADRANT_T,RGC_OCT2,RGC_disp_P1,RGC_disp_P2,RGC_disp_P3,RGC_disp_P4,RGC_disp_P5,RGC_disp_P6,RGC_disp_P7,RGC_disp_P8,RGC_disp_P9,RGC_disp_P10,RGC_disp_P11,RGC_disp_P12,RGC_disp_P13,RGC_disp_P14,RGC_disp_P15,RGC_disp_P16,RGC_disp_P17,RGC_disp_P18,RGC_disp_P19,RGC_disp_P20,RGC_disp_P21,RGC_disp_P22,RGC_disp_P23,RGC_disp_P24,RGC_disp_P25,RGC_disp_P26,RGC_disp_P27,RGC_disp_P28,RGC_disp_P29,RGC_disp_P30,RGC_disp_P31,RGC_disp_P32,RGC_disp_P33,RGC_disp_P34,RGC_disp_P35,RGC_disp_P36,RGC_disp_P37,RGC_disp_P38,RGC_disp_P39,RGC_disp_P40,RGC_disp_P41,RGC_disp_P42,RGC_disp_P43,RGC_disp_P44,RGC_disp_P45,RGC_disp_P46,RGC_disp_P47,RGC_disp_P48,RGC_disp_P49,RGC_disp_P50,RGC_disp_P51,RGC_disp_P52,RGC_disp_P53,RGC_disp_P54,RGC_disp_P55,RGC_disp_P56,RGC_disp_P57,RGC_disp_P58,RGC_disp_P59,RGC_disp_P60,RGC_disp_P61,RGC_disp_P62,RGC_disp_P63,RGC_disp_P64,RGC_disp_P65,RGC_disp_P66,RGC_disp_P67,RGC_disp_P68,RGC_disp
RGC_HFA9,-0.07938009325,0.0872285938371,0.381147244158,0.0607730179148,-0.0712669733636,0.0590061223266,-0.2362226976,0.241581239336,0.711887811282,0.433828098024,1,1,0.430969654184,-0.336508394462,0.491318437425,0.0141229469196,-0.162225015135,-0.0610975523787,,0.0141229469196,,0.11285922062,0.194304095216,-0.162540751247,-0.16412602709,0.0475245270549,-0.0802346753554,-0.174980345452,-0.17996682473,-0.308830971507,-0.166957164039,0.100945074347,0.244939670718,-0.0694213346593,0.0332437402912,0.159108382349,0.161041289147,-0.0161019283523,-0.0729841502498,0.0621473393537,-0.0598551833972,-0.101094065105,0.0414721083249,-0.065449894766,0.00416353047908,0.243424243862,0.198161428113,-0.0625576815648,0.213401391935,0.209164691228,0.246395940657,0.347879407018,0.100471873822,0.179149278639,0.127832686713,0.0523867544993,0.470481031369,0.285158865649,0.430969654184,0.356168849639,0.465696059873,0.305463873577,0.25991818724,0.410537520862,0.375395884578,0.212734647796,0.223812032503,0.135804679717,0.447095586555,0.437180426786,0.507641511978,0.486761416608,0.3004139708,0.333346882012,0.242614117236,0.190168689698,0.435744413533,0.681494215663,0.531865644925,0.632737271512,0.500680557293,0.322243142552,0.424664155033,0.181698658674,0.389986455107,0.16731091377,0.454963509599,0.646175890057,0.746623996122,0.649277095488,0.458737177904,0.230418932942,0.152570224574,0.264131010621,0.0988643465534,0.187278028618,0.580352328463,0.675301564764,0.791657705994,0.635942148809,0.573060373308,0.4929950714,0.481025538035,0.437348408052,0.574055249094,0.562954691689,0.669846166503,0.696100546196,0.606687846378,0.443289566012,0.276175020358,0.523043335539,0.480392150834,0.516776316228,0.454469367221,0.707586846158,0.300372546905,0.437599892892,0.483072539195,0.382503550319,0.726388610848,0.401784443837,0.518987815227,0.485148018565,0.246663795809,0.207017597958,0.238109039293,0.978637267216
RGC_OCT2,-0.310479274623,-0.0135044346982,-0.114221792334,-0.00186541442489,-0.27888479489,0.00369890268103,-0.0800903311663,-0.278567474358,0.199500954395,0.0679131561712,0.430969654184,0.430969654184,1,0.462870217486,0.995333973275,0.858577645592,0.0296848071633,0.228976437277,,0.858577645592,,0.429599637171,0.551672775284,0.133484889074,0.557115008401,0.418157044419,0.210985825655,0.0327726435434,0.0553315286704,0.170141593748,0.422928483687,0.568381104471,0.393630391136,0.301316194257,0.411596868727,0.495675498675,0.19833682694,0.191468382965,0.0572099452766,0.192895831958,0.0657558720485,0.146805302364,0.262753067169,0.175281860328,0.226910644486,0.00393713986936,-0.231577693008,-0.364476851883,0.129664708442,0.0466679343061,-0.0749927530587,0.151929866402,-0.0594976025113,0.192128229965,0.730772748575,0.275923907016,0.685252041023,0.526085050572,1,0.198263786667,0.17564157765,0.218219337649,0.28250320925,0.207636590018,0.342737683499,-0.00762905830557,-0.23116949401,-0.0175277854179,0.144364900329,0.271026399423,0.208107013583,0.34454780099,0.126450166336,0.0282557013881,0.0604422975787,0.171885136108,0.176383726822,0.271596534197,0.260618128897,0.24963835182,0.377136579144,0.0872721476706,-0.0194327855276,0.0945622197858,0.382903077131,0.327763167648,0.093545270911,0.204759056323,0.270684870766,0.311067825527,0.305091918894,0.272599312282,0.0981452909148,0.2417766513,0.230974792558,0.178593353432,0.316128393667,0.409165357776,0.251257350452,0.358097354975,0.173448151021,0.147535564782,0.324030907652,0.173684028839,0.495504109815,0.23085945035,0.189386474969,0.338009349392,0.0384461771599,0.0344924645832,0.0267630005224,0.394459737193,0.183044104544,0.0836471956873,0.309826729786,0.242906482695,0.148928531534,0.178551126365,0.138890794107,0.163320244786,0.477025016112,0.36699944036,0.22426805912,0.200573556486,0.213745756865,0.209634540396,0.159427948605,0.446281926021
RGC_disp,-0.0318725003073,0.105660940827,0.342654273935,0.0732766203688,-0.0743681498904,0.0695224946145,-0.27183802288,0.243110660582,0.79101363089,0.444109017428,0.978637267216,0.978637267216,0.446281926021,-0.396502570072,0.513441333163,0.0133301829683,-0.13531406948,-0.0747677971788,,0.0133301829683,,0.106786842947,0.199568472275,-0.141553499776,-0.173971354664,0.0627538118342,-0.0503109683502,-0.182218127843,-0.157457183544,-0.321609960753,-0.165566690929,0.0918624178225,0.228288333856,-0.0705539176422,0.0361630602244,0.169208343094,0.151461612228,-0.0676338906262,-0.143470610309,0.011850501913,-0.12489908871,-0.121822043106,-0.00502083281127,-0.111938347992,-0.0410378685961,0.198778773117,0.182377275761,-0.0967303718318,0.182546198447,0.156882201482,0.218206711096,0.307069625959,0.0391785237257,0.160658584221,0.131845262739,0.0800670469561,0.486907967504,0.283997995582,0.446281926021,0.407327456642,0.516528380259,0.365712323302,0.331813794279,0.463584135964,0.401622511222,0.254817052465,0.248216577637,0.22083099688,0.52249455188,0.462629664384,0.57341208455,0.540964190947,0.338767803381,0.323695288876,0.297821618406,0.230604981466,0.455624101481,0.683620091488,0.508965952151,0.631559342995,0.463219221951,0.38892379392,0.448859232801,0.232365150234,0.374209968263,0.179165487291,0.383149447678,0.594621631083,0.672233677559,0.641952616928,0.472094882305,0.290034131845,0.265198746042,0.320274072666,0.128824210129,0.23395167678,0.594659940321,0.609924415838,0.696064138476,0.642238234591,0.604750222179,0.524906530097,0.540358890459,0.472425607792,0.596532103613,0.546251493106,0.682228417414,0.684791366841,0.648816342582,0.453330851446,0.298967123637,0.567013708065,0.535925857367,0.544792430093,0.525178555112,0.738756214184,0.387439293664,0.466207372684,0.52576300977,0.44796276074,0.733613382406,0.462166659899,0.587303603373,0.571551733718,0.319021876304,0.271205758473,0.332498515454,1
